TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
2.5,0.502502,0.466352,2.5,0.502502,0.434056
2.495,0.493937,0.658318,2.495,0.493937,0.454984
2.49,0.485372,0.681313,2.49,0.488227,0.467644
2.485,0.479661,0.712317,2.485,0.482516,0.475136
2.48,0.471096,0.744096,2.48,0.471096,0.469194
2.476,0.465386,0.750555,2.476,0.468241,0.462218
2.471,0.45682,0.768383,2.471,0.459675,0.464027
2.466,0.45111,0.760373,2.466,0.45111,0.454984
2.461,0.43969,0.782593,2.461,0.43969,0.441807
2.456,0.431124,0.77665,2.456,0.431124,0.437415
2.451,0.425414,0.765541,2.451,0.425414,0.431989
2.446,0.416849,0.781043,2.446,0.416849,0.416229
2.441,0.411138,0.767607,2.441,0.411138,0.404602
2.437,0.402573,0.765541,2.437,0.402573,0.400985
2.432,0.394008,0.754431,2.432,0.396863,0.387808
2.427,0.385442,0.757273,2.427,0.388297,0.372306
2.422,0.379732,0.746421,2.422,0.379732,0.367397
2.417,0.371166,0.727044,2.417,0.371166,0.359646
2.412,0.365456,0.734795,2.412,0.362601,0.342336
2.407,0.354036,0.717226,2.407,0.356891,0.33381
2.402,0.351181,0.703533,2.402,0.348325,0.327867
2.397,0.33976,0.69449,2.397,0.33976,0.313916
2.393,0.33405,0.686997,2.393,0.33405,0.300222
2.388,0.325484,0.673304,2.388,0.325484,0.296863
2.383,0.316919,0.652893,2.383,0.316919,0.287304
2.378,0.308354,0.653926,2.378,0.308354,0.271802
2.373,0.302643,0.63584,2.373,0.302643,0.265601
2.368,0.294078,0.61698,2.368,0.294078,0.261209
2.363,0.285513,0.611296,2.363,0.285513,0.246482
2.358,0.276947,0.595019,2.358,0.276947,0.234855
2.354,0.268382,0.58055,2.354,0.268382,0.233822
2.349,0.262672,0.562464,2.349,0.262672,0.222454
2.344,0.254106,0.556522,2.344,0.256961,0.208502
2.339,0.245541,0.540245,2.339,0.248396,0.206435
2.334,0.239831,0.520609,2.334,0.239831,0.201784
2.329,0.231265,0.516217,2.329,0.231265,0.188091
2.324,0.219845,0.499681,2.324,0.2227,0.180598
2.319,0.214135,0.482371,2.319,0.21699,0.17879
2.314,0.205569,0.468419,2.314,0.205569,0.168455
2.31,0.199859,0.460151,2.31,0.199859,0.155795
2.305,0.191293,0.442841,2.305,0.191293,0.156312
2.3,0.182728,0.425788,2.3,0.182728,0.151403
2.295,0.177018,0.419588,2.295,0.174163,0.136934
2.29,0.165597,0.404861,2.29,0.168452,0.134609
2.285,0.159887,0.38755,2.285,0.159887,0.133576
2.28,0.148467,0.377732,2.28,0.151322,0.121174
2.275,0.142756,0.367139,2.275,0.145611,0.11239
2.271,0.137046,0.350604,2.271,0.137046,0.114456
2.266,0.128481,0.335102,2.266,0.128481,0.106447
2.261,0.12277,0.330193,2.261,0.12277,0.096371
2.256,0.114205,0.315982,2.256,0.114205,0.096112
2.251,0.108495,0.299964,2.251,0.108495,0.095337
2.246,0.099929,0.291954,2.246,0.097074,0.083711
2.241,0.088509,0.282395,2.241,0.088509,0.077768
2.236,0.082799,0.266118,2.236,0.082799,0.080094
2.231,0.077088,0.254233,2.231,0.071378,0.071051
2.227,0.068523,0.249324,2.227,0.068523,0.062266
2.222,0.059958,0.235114,2.222,0.059958,0.064075
2.217,0.051392,0.221162,2.217,0.051392,0.06175
2.212,0.042827,0.216253,2.212,0.042827,0.051415
2.207,0.034262,0.207985,2.207,0.037117,0.049606
2.202,0.025696,0.191966,2.202,0.028551,0.05064
2.197,0.019986,0.183957,2.197,0.022841,0.041855
2.192,0.011421,0.180082,2.192,0.014276,0.034363
2.188,0.00571,0.164063,2.188,0.00571,0.038238
2.183,-0.002855,0.155278,2.183,-0.002855,0.033588
2.178,-0.008565,0.152178,2.178,-0.008565,0.024028
2.173,-0.017131,0.144169,2.173,-0.017131,0.024803
2.168,-0.025696,0.130475,2.168,-0.025696,0.026353
2.163,-0.034262,0.126083,2.163,-0.034262,0.017569
2.158,-0.039972,0.121949,2.158,-0.039972,0.011885
2.153,-0.048537,0.107222,2.153,-0.048537,0.016535
2.148,-0.054247,0.101021,2.148,-0.054247,0.010593
2.144,-0.065668,0.09973,2.144,-0.065668,0.002842
2.139,-0.074233,0.088361,2.139,-0.074233,0.006201
2.134,-0.079944,0.080094,2.134,-0.079944,0.006201
2.129,-0.088509,0.077768,2.129,-0.091364,-0.002325
2.124,-0.094219,0.073635,2.124,-0.097074,-0.003876
2.119,-0.10564,0.06175,2.119,-0.10564,-0.00155
2.114,-0.11135,0.056841,2.114,-0.11135,-0.007493
2.109,-0.11706,0.057616,2.109,-0.11706,-0.014727
2.104,-0.125626,0.045989,2.104,-0.125626,-0.010076
2.1,-0.131336,0.04108,2.1,-0.137046,-0.01111
2.095,-0.142756,0.039788,2.095,-0.142756,-0.019894
2.09,-0.151322,0.035396,2.09,-0.154177,-0.018861
2.085,-0.159887,0.026353,2.085,-0.159887,-0.016019
2.08,-0.168452,0.023511,2.08,-0.168452,-0.023253
2.075,-0.177018,0.02377,2.075,-0.177018,-0.028937
2.07,-0.182728,0.013435,2.07,-0.182728,-0.023253
2.065,-0.191293,0.00956,2.065,-0.191293,-0.027129
2.061,-0.199859,0.010851,2.061,-0.199859,-0.034363
2.056,-0.208424,0.004909,2.056,-0.205569,-0.031004
2.051,-0.214135,-0.002325,2.051,-0.214135,-0.029195
2.046,-0.2227,-0.002842,2.046,-0.225555,-0.037205
2.041,-0.22841,-0.0031,2.041,-0.22841,-0.039013
2.036,-0.239831,-0.01266,2.036,-0.236976,-0.034363
2.031,-0.245541,-0.014727,2.031,-0.245541,-0.040047
2.026,-0.251251,-0.012143,2.026,-0.251251,-0.045731
2.021,-0.259817,-0.020153,2.021,-0.259817,-0.040822
2.017,-0.265527,-0.024286,2.017,-0.265527,-0.040822
2.012,-0.274092,-0.022736,2.012,-0.274092,-0.048831
2.007,-0.285513,-0.02377,2.007,-0.282658,-0.047539
2.002,-0.291223,-0.032037,2.002,-0.288368,-0.044181
1.997,-0.302643,-0.032813,1.997,-0.299788,-0.050382
1.992,-0.308354,-0.029712,1.992,-0.305499,-0.05529
1.987,-0.316919,-0.039013,1.987,-0.314064,-0.049606
1.982,-0.322629,-0.041339,1.982,-0.319774,-0.05219
1.978,-0.331195,-0.038238,1.978,-0.331195,-0.058908
1.973,-0.336905,-0.040822,1.973,-0.336905,-0.055549
1.968,-0.34547,-0.047539,1.968,-0.34547,-0.05219
1.963,-0.354036,-0.045989,1.963,-0.354036,-0.059424
1.958,-0.362601,-0.044956,1.958,-0.362601,-0.062008
1.953,-0.371166,-0.053224,1.953,-0.371166,-0.055807
1.948,-0.376877,-0.054515,1.948,-0.376877,-0.059941
1.943,-0.382587,-0.05064,1.943,-0.382587,-0.065884
1.938,-0.394008,-0.056841,1.938,-0.391152,-0.060458
1.934,-0.399718,-0.059941,1.934,-0.396863,-0.059683
1.929,-0.408283,-0.057357,1.929,-0.405428,-0.066917
1.924,-0.413993,-0.056066,1.924,-0.413993,-0.066917
1.919,-0.425414,-0.063817,1.919,-0.422559,-0.062266
1.914,-0.433979,-0.064075,1.914,-0.431124,-0.067434
1.909,-0.43969,-0.059941,1.909,-0.436834,-0.072859
1.904,-0.448255,-0.067434,1.904,-0.4454,-0.066659
1.899,-0.453965,-0.068726,1.899,-0.453965,-0.067175
1.895,-0.462531,-0.065625,1.895,-0.462531,-0.07441
1.89,-0.471096,-0.066659,1.89,-0.468241,-0.071568
1.885,-0.479661,-0.072084,1.885,-0.476806,-0.06795
1.88,-0.485372,-0.071051,1.88,-0.482516,-0.07441
1.875,-0.493937,-0.068726,1.875,-0.493937,-0.077252
1.87,-0.499647,-0.075701,1.87,-0.499647,-0.070792
1.865,-0.508213,-0.076218,1.865,-0.508213,-0.07441
1.86,-0.516778,-0.071826,1.86,-0.513923,-0.080352
1.855,-0.525343,-0.07596,1.855,-0.525343,-0.075443
