TIME s, IN1, IN2
2.5, 0.502502, 0.466352
2.495, 0.493937, 0.658318
2.49, 0.485372, 0.681313
2.485, 0.479661, 0.712317
2.48, 0.471096, 0.744096
2.476, 0.465386, 0.750555
2.471, 0.45682, 0.768383
2.466, 0.45111, 0.760373
2.461, 0.43969, 0.782593
2.456, 0.431124, 0.77665
2.451, 0.425414, 0.765541
2.446, 0.416849, 0.781043
2.441, 0.411138, 0.767607
2.437, 0.402573, 0.765541
2.432, 0.394008, 0.754431
2.427, 0.385442, 0.757273
2.422, 0.379732, 0.746421
2.417, 0.371166, 0.727044
2.412, 0.365456, 0.734795
2.407, 0.354036, 0.717226
2.402, 0.351181, 0.703533
2.397, 0.33976, 0.69449
2.393, 0.33405, 0.686997
2.388, 0.325484, 0.673304
2.383, 0.316919, 0.652893
2.378, 0.308354, 0.653926
2.373, 0.302643, 0.63584
2.368, 0.294078, 0.61698
2.363, 0.285513, 0.611296
2.358, 0.276947, 0.595019
2.354, 0.268382, 0.58055
2.349, 0.262672, 0.562464
2.344, 0.254106, 0.556522
2.339, 0.245541, 0.540245
2.334, 0.239831, 0.520609
2.329, 0.231265, 0.516217
2.324, 0.219845, 0.499681
2.319, 0.214135, 0.482371
2.314, 0.205569, 0.468419
2.31, 0.199859, 0.460151
2.305, 0.191293, 0.442841
2.3, 0.182728, 0.425788
2.295, 0.177018, 0.419588
2.29, 0.165597, 0.404861
2.285, 0.159887, 0.38755
2.28, 0.148467, 0.377732
2.275, 0.142756, 0.367139
2.271, 0.137046, 0.350604
2.266, 0.128481, 0.335102
2.261, 0.12277, 0.330193
2.256, 0.114205, 0.315982
2.251, 0.108495, 0.299964
2.246, 0.099929, 0.291954
2.241, 0.088509, 0.282395
2.236, 0.082799, 0.266118
2.231, 0.077088, 0.254233
2.227, 0.068523, 0.249324
2.222, 0.059958, 0.235114
2.217, 0.051392, 0.221162
2.212, 0.042827, 0.216253
2.207, 0.034262, 0.207985
2.202, 0.025696, 0.191966
2.197, 0.019986, 0.183957
2.192, 0.011421, 0.180082
2.188, 0.00571, 0.164063
2.183, -0.002855, 0.155278
2.178, -0.008565, 0.152178
2.173, -0.017131, 0.144169
2.168, -0.025696, 0.130475
2.163, -0.034262, 0.126083
2.158, -0.039972, 0.121949
2.153, -0.048537, 0.107222
2.148, -0.054247, 0.101021
2.144, -0.065668, 0.09973
2.139, -0.074233, 0.088361
2.134, -0.079944, 0.080094
2.129, -0.088509, 0.077768
2.124, -0.094219, 0.073635
2.119, -0.10564, 0.06175
2.114, -0.11135, 0.056841
2.109, -0.11706, 0.057616
2.104, -0.125626, 0.045989
2.1, -0.131336, 0.04108
2.095, -0.142756, 0.039788
2.09, -0.151322, 0.035396
2.085, -0.159887, 0.026353
2.08, -0.168452, 0.023511
2.075, -0.177018, 0.02377
2.07, -0.182728, 0.013435
2.065, -0.191293, 0.00956
2.061, -0.199859, 0.010851
2.056, -0.208424, 0.004909
2.051, -0.214135, -0.002325
2.046, -0.2227, -0.002842
2.041, -0.22841, -0.0031
2.036, -0.239831, -0.01266
2.031, -0.245541, -0.014727
2.026, -0.251251, -0.012143
2.021, -0.259817, -0.020153
2.017, -0.265527, -0.024286
2.012, -0.274092, -0.022736
2.007, -0.285513, -0.02377
2.002, -0.291223, -0.032037
1.997, -0.302643, -0.032813
1.992, -0.308354, -0.029712
1.987, -0.316919, -0.039013
1.982, -0.322629, -0.041339
1.978, -0.331195, -0.038238
1.973, -0.336905, -0.040822
1.968, -0.34547, -0.047539
1.963, -0.354036, -0.045989
1.958, -0.362601, -0.044956
1.953, -0.371166, -0.053224
1.948, -0.376877, -0.054515
1.943, -0.382587, -0.05064
1.938, -0.394008, -0.056841
1.934, -0.399718, -0.059941
1.929, -0.408283, -0.057357
1.924, -0.413993, -0.056066
1.919, -0.425414, -0.063817
1.914, -0.433979, -0.064075
1.909, -0.43969, -0.059941
1.904, -0.448255, -0.067434
1.899, -0.453965, -0.068726
1.895, -0.462531, -0.065625
1.89, -0.471096, -0.066659
1.885, -0.479661, -0.072084
1.88, -0.485372, -0.071051
1.875, -0.493937, -0.068726
1.87, -0.499647, -0.075701
1.865, -0.508213, -0.076218
1.86, -0.516778, -0.071826
1.855, -0.525343, -0.07596
1.851, -0.533909, -0.080094
1.846, -0.539619, -0.077252
1.841, -0.551039, -0.075185
1.836, -0.55675, -0.082419
1.831, -0.565315, -0.082419
1.826, -0.57388, -0.077252
1.821, -0.582446, -0.083969
1.816, -0.588156, -0.085519
1.812, -0.593866, -0.081644
1.807, -0.602432, -0.081386
1.802, -0.610997, -0.086811
1.797, -0.619563, -0.085261
1.792, -0.625273, -0.081386
1.787, -0.633838, -0.088878
1.782, -0.639548, -0.089395
1.777, -0.648114, -0.084228
1.772, -0.659534, -0.086294
1.768, -0.662389, -0.091462
1.763, -0.67381, -0.088361
1.758, -0.682375, -0.086294
1.753, -0.688086, -0.093012
1.748, -0.699506, -0.092754
1.743, -0.705216, -0.088103
1.738, -0.710927, -0.092237
1.733, -0.719492, -0.095079
1.729, -0.725202, -0.091462
1.724, -0.733768, -0.09017
1.719, -0.739478, -0.096371
1.714, -0.750898, -0.095596
1.709, -0.753753, -0.090687
1.704, -0.765174, -0.097663
1.699, -0.770884, -0.098179
1.694, -0.77945, -0.094045
1.689, -0.788015, -0.094304
1.685, -0.79658, -0.099471
1.68, -0.805146, -0.096629
1.675, -0.810856, -0.093529
1.67, -0.822277, -0.100505
1.665, -0.825132, -0.100763
1.66, -0.833697, -0.095596
1.655, -0.842262, -0.09973
1.65, -0.850828, -0.10283
1.646, -0.856538, -0.099213
1.641, -0.867959, -0.096888
1.636, -0.873669, -0.103605
1.631, -0.882234, -0.103088
1.626, -0.893655, -0.097146
1.621, -0.89651, -0.103863
1.616, -0.905075, -0.104122
1.611, -0.913641, -0.099988
1.606, -0.922206, -0.099988
1.602, -0.927916, -0.105155
1.597, -0.939337, -0.103605
1.592, -0.945047, -0.099471
1.587, -0.950757, -0.10593
1.582, -0.959323, -0.106705
1.577, -0.965033, -0.100763
1.572, -0.973598, -0.103347
1.567, -0.982164, -0.107222
1.563, -0.990729, -0.103605
1.558, -0.999294, -0.101796
1.553, -1.005005, -0.108514
1.548, -1.01357, -0.107739
1.543, -1.022135, -0.102572
1.538, -1.027846, -0.107481
1.533, -1.036411, -0.109547
1.528, -1.044976, -0.104639
1.523, -1.050687, -0.103605
1.519, -1.062107, -0.109289
1.514, -1.070673, -0.107739
1.509, -1.079238, -0.103088
1.504, -1.084948, -0.110064
1.499, -1.093514, -0.110581
1.494, -1.099224, -0.105414
1.489, -1.107789, -0.106447
1.484, -1.113499, -0.111356
1.479, -1.122065, -0.107739
1.475, -1.13063, -0.105672
1.47, -1.139196, -0.111873
1.465, -1.144906, -0.111873
1.46, -1.156326, -0.106964
1.455, -1.164892, -0.110839
1.45, -1.170602, -0.112648
1.445, -1.179167, -0.108772
1.44, -1.184878, -0.106964
1.436, -1.196298, -0.113681
1.431, -1.202008, -0.111873
1.426, -1.210574, -0.106964
1.421, -1.216284, -0.112906
1.416, -1.224849, -0.11394
1.411, -1.23056, -0.109806
1.406, -1.24198, -0.109031
1.401, -1.24769, -0.11394
1.396, -1.256256, -0.111614
1.392, -1.264821, -0.107739
1.387, -1.270531, -0.114456
1.382, -1.279097, -0.114198
1.377, -1.287662, -0.108772
1.372, -1.293372, -0.111614
1.367, -1.301938, -0.11549
1.362, -1.310503, -0.111873
1.357, -1.316213, -0.109547
1.353, -1.327634, -0.116007
1.348, -1.333344, -0.115748
1.343, -1.34191, -0.109806
1.338, -1.34762, -0.115232
1.333, -1.356185, -0.116782
1.328, -1.364751, -0.112131
1.323, -1.373316, -0.111098
1.318, -1.379026, -0.116523
1.313, -1.390447, -0.114456
1.309, -1.399012, -0.109806
1.304, -1.404722, -0.116523
1.299, -1.413288, -0.117815
1.294, -1.418998, -0.111614
1.289, -1.427563, -0.112131
1.284, -1.436129, -0.117557
1.279, -1.441839, -0.114715
1.274, -1.45326, -0.111614
1.27, -1.456115, -0.117557
1.265, -1.467535, -0.117815
1.26, -1.473245, -0.111614
1.255, -1.481811, -0.11549
1.25, 0.502502, 0.451367
1.245, 0.493937, 0.657027
1.24, 0.485372, 0.678988
1.235, 0.476806, 0.713867
1.23, 0.471096, 0.739187
1.226, 0.465386, 0.752881
1.221, 0.453965, 0.770191
1.216, 0.4454, 0.75934
1.211, 0.43969, 0.784918
1.206, 0.431124, 0.779234
1.201, 0.422559, 0.769158
1.196, 0.413993, 0.781043
1.191, 0.408283, 0.771483
1.187, 0.399718, 0.769416
1.182, 0.394008, 0.753914
1.177, 0.385442, 0.76089
1.172, 0.376877, 0.74978
1.167, 0.368311, 0.729628
1.162, 0.362601, 0.735828
1.157, 0.354036, 0.719034
1.152, 0.348325, 0.70715
1.147, 0.33976, 0.69449
1.143, 0.331195, 0.68803
1.138, 0.322629, 0.675629
1.133, 0.316919, 0.654184
1.128, 0.308354, 0.65496
1.123, 0.299788, 0.638424
1.118, 0.291223, 0.620597
1.113, 0.285513, 0.611037
1.108, 0.274092, 0.598119
1.104, 0.268382, 0.584425
1.099, 0.262672, 0.564273
1.094, 0.251251, 0.559881
1.089, 0.245541, 0.543862
1.084, 0.236976, 0.523451
1.079, 0.231265, 0.517509
1.074, 0.219845, 0.502523
1.069, 0.21699, 0.485471
1.064, 0.205569, 0.468677
1.06, 0.199859, 0.462735
1.055, 0.191293, 0.446458
1.05, 0.179873, 0.426305
1.045, 0.174163, 0.421396
1.04, 0.165597, 0.408219
1.035, 0.159887, 0.390134
1.03, 0.151322, 0.378249
1.025, 0.142756, 0.369981
1.021, 0.134191, 0.352929
1.016, 0.128481, 0.336393
1.011, 0.12277, 0.332001
1.006, 0.114205, 0.319341
1.001, 0.10564, 0.300222
996.094, 0.097074, 0.293246
