TIME s, IN1, IN2
2.5, 0.502502, 0.434056
2.495, 0.493937, 0.454984
2.49, 0.488227, 0.467644
2.485, 0.482516, 0.475136
2.48, 0.471096, 0.469194
2.476, 0.468241, 0.462218
2.471, 0.459675, 0.464027
2.466, 0.45111, 0.454984
2.461, 0.43969, 0.441807
2.456, 0.431124, 0.437415
2.451, 0.425414, 0.431989
2.446, 0.416849, 0.416229
2.441, 0.411138, 0.404602
2.437, 0.402573, 0.400985
2.432, 0.396863, 0.387808
2.427, 0.388297, 0.372306
2.422, 0.379732, 0.367397
2.417, 0.371166, 0.359646
2.412, 0.362601, 0.342336
2.407, 0.356891, 0.33381
2.402, 0.348325, 0.327867
2.397, 0.33976, 0.313916
2.393, 0.33405, 0.300222
2.388, 0.325484, 0.296863
2.383, 0.316919, 0.287304
2.378, 0.308354, 0.271802
2.373, 0.302643, 0.265601
2.368, 0.294078, 0.261209
2.363, 0.285513, 0.246482
2.358, 0.276947, 0.234855
2.354, 0.268382, 0.233822
2.349, 0.262672, 0.222454
2.344, 0.256961, 0.208502
2.339, 0.248396, 0.206435
2.334, 0.239831, 0.201784
2.329, 0.231265, 0.188091
2.324, 0.2227, 0.180598
2.319, 0.21699, 0.17879
2.314, 0.205569, 0.168455
2.31, 0.199859, 0.155795
2.305, 0.191293, 0.156312
2.3, 0.182728, 0.151403
2.295, 0.174163, 0.136934
2.29, 0.168452, 0.134609
2.285, 0.159887, 0.133576
2.28, 0.151322, 0.121174
2.275, 0.145611, 0.11239
2.271, 0.137046, 0.114456
2.266, 0.128481, 0.106447
2.261, 0.12277, 0.096371
2.256, 0.114205, 0.096112
2.251, 0.108495, 0.095337
2.246, 0.097074, 0.083711
2.241, 0.088509, 0.077768
2.236, 0.082799, 0.080094
2.231, 0.071378, 0.071051
2.227, 0.068523, 0.062266
2.222, 0.059958, 0.064075
2.217, 0.051392, 0.06175
2.212, 0.042827, 0.051415
2.207, 0.037117, 0.049606
2.202, 0.028551, 0.05064
2.197, 0.022841, 0.041855
2.192, 0.014276, 0.034363
