TIME s, IN1D, IN2D,TIME sT, IN1T,IN2T
2.5,0.505357,2.144444,2.5,0.505357,2.159945
2.495,0.499647,2.322716,2.495,0.499647,2.290421
2.49,0.491082,2.358888,2.49,0.491082,2.371806
2.485,0.485372,2.386016,2.485,0.485372,2.371806
2.48,0.473951,2.419604,2.48,0.473951,2.348553
2.476,0.468241,2.379557,2.476,0.468241,2.36018
2.471,0.459675,2.345969,2.471,0.45682,2.340802
2.466,0.453965,2.343386,2.466,0.45111,2.273627
2.461,0.4454,2.305923,2.461,0.442545,2.240039
2.456,0.433979,2.237456,2.456,0.433979,2.225829
2.451,0.428269,2.206452,2.451,0.428269,2.148319
2.446,0.419704,2.174156,2.446,0.419704,2.087603
2.441,0.413993,2.099229,2.441,0.411138,2.068225
2.437,0.402573,2.035929,2.437,0.402573,2.011385
2.432,0.396863,2.013968,2.432,0.396863,1.933875
2.427,0.391152,1.955836,2.427,0.388297,1.902871
2.422,0.382587,1.877034,2.422,0.379732,1.857656
2.417,0.374022,1.844738,2.417,0.371166,1.778855
2.412,0.368311,1.804691,2.412,0.365456,1.720722
2.407,0.356891,1.723306,2.407,0.356891,1.702636
2.402,0.351181,1.670341,2.402,0.348325,1.631586
2.397,0.342615,1.650963,2.397,0.342615,1.559243
2.393,0.33405,1.574745,2.393,0.336905,1.541157
2.388,0.32834,1.50757,2.388,0.325484,1.497235
2.383,0.319774,1.484317,2.383,0.319774,1.419725
2.378,0.314064,1.446853,2.378,0.311209,1.371927
2.373,0.305499,1.365468,2.373,0.302643,1.353841
2.368,0.296933,1.328005,2.368,0.294078,1.281499
2.363,0.285513,1.306044,2.363,0.285513,1.227242
2.358,0.279802,1.231117,2.358,0.279802,1.213032
2.354,0.271237,1.180736,2.354,0.268382,1.170401
2.349,0.265527,1.167817,2.349,0.265527,1.100642
2.344,0.256961,1.114852,2.344,0.256961,1.074805
2.339,0.251251,1.051552,2.339,0.248396,1.048969
2.334,0.242686,1.032175,2.334,0.239831,0.984377
2.329,0.23412,1.011506,2.329,0.23412,0.936579
2.324,0.22841,0.937871,2.324,0.225555,0.93012
2.319,0.219845,0.896532,2.319,0.21699,0.88749
2.314,0.211279,0.891365,2.314,0.211279,0.825482
2.31,0.202714,0.834524,2.31,0.202714,0.813855
2.305,0.194149,0.790602,2.305,0.191293,0.790602
2.3,0.188438,0.777684,2.3,0.185583,0.729886
2.295,0.177018,0.753139,2.295,0.177018,0.695006
2.29,0.171308,0.693715,2.29,0.171308,0.695006
2.285,0.162742,0.666586,2.285,0.162742,0.643333
2.28,0.154177,0.665294,2.28,0.154177,0.594243
2.275,0.145611,0.609745,2.275,0.145611,0.594243
2.271,0.139901,0.569699,2.271,0.139901,0.572282
2.266,0.131336,0.57099,2.266,0.131336,0.511566
2.261,0.125626,0.541278,2.261,0.125626,0.49348
2.256,0.11706,0.490897,2.256,0.11706,0.49348
2.251,0.11135,0.480562,2.251,0.108495,0.441807
2.246,0.099929,0.470227,2.246,0.099929,0.404344
2.241,0.091364,0.421138,2.241,0.094219,0.414679
2.236,0.085654,0.391426,2.236,0.085654,0.388842
2.231,0.077088,0.396593,2.231,0.077088,0.335877
2.227,0.068523,0.357838,2.227,0.068523,0.337169
2.222,0.059958,0.319083,2.222,0.059958,0.326834
2.217,0.054247,0.320375,2.217,0.054247,0.276452
2.212,0.045682,0.313916,2.212,0.042827,0.253199
2.207,0.039972,0.263534,2.207,0.037117,0.263534
2.202,0.031406,0.242865,2.202,0.028551,0.223487
2.197,0.022841,0.255783,2.197,0.022841,0.186024
2.192,0.014276,0.210569,2.192,0.014276,0.196359
2.188,0.008565,0.182149,2.188,0.008565,0.184732
2.183,0,0.192483,2.183,0.002855,0.138226
2.178,-0.008565,0.178273,2.178,-0.00571,0.125308
2.173,-0.017131,0.136934,2.173,-0.011421,0.139518
2.168,-0.022841,0.133059,2.168,-0.022841,0.095596
2.163,-0.034262,0.135643,2.163,-0.031406,0.071051
2.158,-0.039972,0.094304,2.158,-0.037117,0.086553
2.153,-0.048537,0.071051,2.153,-0.048537,0.071051
2.148,-0.054247,0.087845,2.148,-0.054247,0.031004
2.144,-0.062813,0.071051,2.144,-0.062813,0.031004
2.139,-0.071378,0.029712,2.139,-0.068523,0.03488
2.134,-0.079944,0.033588,2.134,-0.079944,-0.006459
2.129,-0.088509,0.036171,2.129,-0.088509,-0.025837
2.124,-0.094219,-0.003876,2.124,-0.094219,-0.005167
2.119,-0.102785,-0.020669,2.119,-0.102785,-0.02842
2.114,-0.108495,-0.002584,2.114,-0.108495,-0.065884
2.109,-0.11706,-0.040047,2.109,-0.114205,-0.050382
2.104,-0.125626,-0.060716,2.104,-0.125626,-0.051673
