TIME s, IN1, IN2
2.5, 0.505357, 1.077389
2.495, 0.499647, 1.165234
2.49, 0.491082, 1.19107
2.485, 0.485372, 1.189133
2.48, 0.473951, 1.198176
2.476, 0.468241, 1.200113
2.471, 0.459675, 1.174922
2.466, 0.45111, 1.150378
2.461, 0.442545, 1.14521
2.456, 0.433979, 1.122603
2.451, 0.425414, 1.087078
2.446, 0.416849, 1.075451
2.441, 0.411138, 1.056074
2.437, 0.402573, 1.012151
2.432, 0.396863, 0.988253
2.427, 0.388297, 0.980502
2.422, 0.379732, 0.937225
2.417, 0.371166, 0.902992
2.412, 0.365456, 0.890719
2.407, 0.356891, 0.873279
2.402, 0.348325, 0.832587
2.397, 0.342615, 0.809334
2.393, 0.33405, 0.79254
2.388, 0.325484, 0.754431
2.383, 0.319774, 0.728594
2.378, 0.311209, 0.720843
2.373, 0.305499, 0.687901
2.368, 0.296933, 0.654314
2.363, 0.285513, 0.643333
2.358, 0.279802, 0.629769
2.354, 0.271237, 0.592306
2.349, 0.265527, 0.566469
2.344, 0.256961, 0.560656
2.339, 0.248396, 0.530944
2.334, 0.239831, 0.507691
2.329, 0.231265, 0.498002
2.324, 0.225555, 0.481208
2.319, 0.21699, 0.448912
2.314, 0.211279, 0.434702
2.31, 0.202714, 0.430826
2.305, 0.194149, 0.399177
2.3, 0.185583, 0.376569
2.295, 0.177018, 0.373986
2.29, 0.171308, 0.360422
2.285, 0.162742, 0.333293
2.28, 0.151322, 0.323604
2.275, 0.145611, 0.316499
2.271, 0.139901, 0.290017
2.266, 0.131336, 0.273223
2.261, 0.125626, 0.276452
2.256, 0.11706, 0.254491
2.251, 0.108495, 0.231884
2.246, 0.102785, 0.229946
2.241, 0.094219, 0.228009
2.236, 0.085654, 0.20088
2.231, 0.077088, 0.187962
2.227, 0.068523, 0.191191
2.222, 0.062813, 0.167292
2.217, 0.054247, 0.152436
2.212, 0.045682, 0.155666
2.207, 0.039972, 0.147269
2.202, 0.028551, 0.122724
2.197, 0.022841, 0.122078
2.192, 0.014276, 0.124016
2.188, 0.00571, 0.100763
2.183, 0, 0.085907
2.178, -0.008565, 0.093658
2.173, -0.017131, 0.083969
2.168, -0.022841, 0.062008
2.163, -0.031406, 0.062654
2.158, -0.037117, 0.063946
2.153, -0.048537, 0.040693
2.148, -0.054247, 0.034234
2.144, -0.059958, 0.043276
2.139, -0.068523, 0.023253
2.134, -0.077088, 0.010981
2.129, -0.088509, 0.016148
2.124, -0.094219, 0.014856
2.119, -0.102785, -0.005813
2.114, -0.108495, -0.010335
2.109, -0.11706, -0.003876
2.104, -0.125626, -0.021961
2.1, -0.131336, -0.032296
2.095, -0.139901, -0.023253
2.09, -0.148467, -0.030358
2.085, -0.157032, -0.046506
2.08, -0.165597, -0.043922
2.075, -0.174163, -0.039401
2.07, -0.179873, -0.058778
2.065, -0.185583, -0.066529
2.061, -0.197004, -0.054903
