TIME s, IN1, IN2
2.5, 0.505357, 2.144444
2.495, 0.499647, 2.322716
2.49, 0.491082, 2.358888
2.485, 0.485372, 2.386016
2.48, 0.473951, 2.419604
2.476, 0.468241, 2.379557
2.471, 0.459675, 2.345969
2.466, 0.453965, 2.343386
2.461, 0.4454, 2.305923
2.456, 0.433979, 2.237456
2.451, 0.428269, 2.206452
2.446, 0.419704, 2.174156
2.441, 0.413993, 2.099229
2.437, 0.402573, 2.035929
2.432, 0.396863, 2.013968
2.427, 0.391152, 1.955836
2.422, 0.382587, 1.877034
2.417, 0.374022, 1.844738
2.412, 0.368311, 1.804691
2.407, 0.356891, 1.723306
2.402, 0.351181, 1.670341
2.397, 0.342615, 1.650963
2.393, 0.33405, 1.574745
2.388, 0.32834, 1.50757
2.383, 0.319774, 1.484317
2.378, 0.314064, 1.446853
2.373, 0.305499, 1.365468
2.368, 0.296933, 1.328005
2.363, 0.285513, 1.306044
2.358, 0.279802, 1.231117
2.354, 0.271237, 1.180736
2.349, 0.265527, 1.167817
2.344, 0.256961, 1.114852
2.339, 0.251251, 1.051552
2.334, 0.242686, 1.032175
2.329, 0.23412, 1.011506
2.324, 0.22841, 0.937871
2.319, 0.219845, 0.896532
2.314, 0.211279, 0.891365
2.31, 0.202714, 0.834524
2.305, 0.194149, 0.790602
2.3, 0.188438, 0.777684
2.295, 0.177018, 0.753139
2.29, 0.171308, 0.693715
2.285, 0.162742, 0.666586
2.28, 0.154177, 0.665294
2.275, 0.145611, 0.609745
2.271, 0.139901, 0.569699
2.266, 0.131336, 0.57099
2.261, 0.125626, 0.541278
2.256, 0.11706, 0.490897
2.251, 0.11135, 0.480562
2.246, 0.099929, 0.470227
2.241, 0.091364, 0.421138
2.236, 0.085654, 0.391426
2.231, 0.077088, 0.396593
2.227, 0.068523, 0.357838
2.222, 0.059958, 0.319083
2.217, 0.054247, 0.320375
2.212, 0.045682, 0.313916
2.207, 0.039972, 0.263534
2.202, 0.031406, 0.242865
2.197, 0.022841, 0.255783
2.192, 0.014276, 0.210569
2.188, 0.008565, 0.182149
2.183, 0, 0.192483
2.178, -0.008565, 0.178273
2.173, -0.017131, 0.136934
2.168, -0.022841, 0.133059
2.163, -0.034262, 0.135643
2.158, -0.039972, 0.094304
2.153, -0.048537, 0.071051
2.148, -0.054247, 0.087845
2.144, -0.062813, 0.071051
2.139, -0.071378, 0.029712
2.134, -0.079944, 0.033588
2.129, -0.088509, 0.036171
2.124, -0.094219, -0.003876
2.119, -0.102785, -0.020669
2.114, -0.108495, -0.002584
2.109, -0.11706, -0.040047
2.104, -0.125626, -0.060716
2.1, -0.131336, -0.04909
2.095, -0.139901, -0.047798
2.09, -0.151322, -0.089137
2.085, -0.157032, -0.093012
2.08, -0.165597, -0.076218
2.075, -0.174163, -0.114973
2.07, -0.179873, -0.134351
2.065, -0.188438, -0.114973
2.061, -0.197004, -0.130475
2.056, -0.202714, -0.162771
2.051, -0.214135, -0.151145
2.046, -0.219845, -0.144685
2.041, -0.22841, -0.184732
2.036, -0.23412, -0.196359
2.031, -0.242686, -0.170522
2.026, -0.248396, -0.201526
2.021, -0.256961, -0.220904
2.017, -0.262672, -0.205402
2.012, -0.274092, -0.202818
2.007, -0.279802, -0.236406
2.002, -0.288368, -0.241573
1.997, -0.299788, -0.217028
1.992, -0.305499, -0.248032
1.987, -0.314064, -0.264826
1.982, -0.319774, -0.242865
1.978, -0.32834, -0.249324
1.973, -0.33405, -0.279036
1.968, -0.34547, -0.268701
1.963, -0.351181, -0.259659
1.958, -0.359746, -0.291954
1.953, -0.365456, -0.304873
1.948, -0.376877, -0.280328
1.943, -0.379732, -0.297122
1.938, -0.388297, -0.320375
1.934, -0.396863, -0.306165
1.929, -0.405428, -0.297122
1.924, -0.411138, -0.333293
1.919, -0.419704, -0.335877
1.914, -0.431124, -0.31004
1.909, -0.436834, -0.33846
1.904, -0.442545, -0.353962
1.899, -0.45111, -0.332001
1.895, -0.45682, -0.329418
1.89, -0.468241, -0.361713
1.885, -0.476806, -0.353962
1.88, -0.482516, -0.33846
1.875, -0.491082, -0.370756
1.87, -0.499647, -0.381091
1.865, -0.505357, -0.355254
1.86, -0.516778, -0.372048
1.855, -0.522488, -0.392717
1.851, -0.528198, -0.377215
1.846, -0.536764, -0.363005
1.841, -0.548184, -0.397885
1.836, -0.553895, -0.403052
1.831, -0.56246, -0.37334
1.826, -0.571025, -0.400468
1.821, -0.576736, -0.413387
1.816, -0.585301, -0.395301
1.812, -0.591011, -0.388842
1.807, -0.602432, -0.41597
1.802, -0.608142, -0.413387
1.797, -0.616707, -0.391426
1.792, -0.622418, -0.418554
1.787, -0.630983, -0.435348
1.782, -0.639548, -0.404344
1.777, -0.645259, -0.410803
1.772, -0.653824, -0.439223
1.768, -0.662389, -0.42243
1.763, -0.670955, -0.410803
1.758, -0.676665, -0.440515
1.753, -0.68523, -0.448266
1.748, -0.693796, -0.418554
1.743, -0.702361, -0.441807
1.738, -0.708071, -0.459893
1.733, -0.716637, -0.437932
1.729, -0.725202, -0.428889
1.724, -0.733768, -0.461185
1.719, -0.739478, -0.458601
1.714, -0.748043, -0.432764
1.709, -0.753753, -0.461185
1.704, -0.765174, -0.475395
1.699, -0.770884, -0.448266
1.694, -0.77945, -0.448266
1.689, -0.78516, -0.476687
1.685, -0.79658, -0.463768
1.68, -0.805146, -0.448266
1.675, -0.808001, -0.477978
1.67, -0.816566, -0.485729
1.665, -0.825132, -0.458601
1.66, -0.830842, -0.468936
1.655, -0.839407, -0.49348
1.65, -0.847973, -0.474103
1.646, -0.856538, -0.461185
1.641, -0.862248, -0.490897
1.636, -0.870814, -0.494772
1.631, -0.879379, -0.46506
1.626, -0.887944, -0.492189
1.621, -0.893655, -0.503815
1.616, -0.90222, -0.477978
1.611, -0.913641, -0.476687
1.606, -0.916496, -0.502523
1.602, -0.925061, -0.492189
1.597, -0.933626, -0.472811
1.592, -0.942192, -0.503815
1.587, -0.950757, -0.512858
1.582, -0.959323, -0.484438
1.577, -0.965033, -0.496064
1.572, -0.973598, -0.516733
1.567, -0.979308, -0.49994
1.563, -0.987874, -0.485729
1.558, -0.996439, -0.518025
1.553, -1.005005, -0.520609
1.548, -1.010715, -0.487021
1.543, -1.022135, -0.512858
1.538, -1.027846, -0.527068
1.533, -1.036411, -0.501231
1.528, -1.044976, -0.494772
1.523, -1.050687, -0.523193
1.519, -1.059252, -0.521901
1.514, -1.067817, -0.497356
1.509, -1.076383, -0.523193
1.504, -1.082093, -0.534819
1.499, -1.093514, -0.502523
1.494, -1.099224, -0.506399
1.489, -1.104934, -0.530944
1.484, -1.113499, -0.516733
1.479, -1.122065, -0.502523
1.475, -1.127775, -0.529652
1.47, -1.13634, -0.536111
1.465, -1.142051, -0.503815
1.46, -1.153471, -0.524484
1.455, -1.159181, -0.539986
1.45, -1.167747, -0.518025
1.445, -1.176312, -0.506399
1.44, -1.182022, -0.538695
1.436, -1.193443, -0.533527
1.431, -1.199153, -0.506399
1.426, -1.207719, -0.530944
1.421, -1.213429, -0.543862
1.416, -1.224849, -0.515442
1.411, -1.227705, -0.51415
1.406, -1.23627, -0.543862
1.401, -1.244835, -0.52836
1.396, -1.253401, -0.512858
1.392, -1.261966, -0.54257
1.387, -1.267676, -0.550321
1.382, -1.273387, -0.520609
1.377, -1.284807, -0.537403
1.372, -1.290517, -0.554197
1.367, -1.301938, -0.533527
1.362, -1.304793, -0.520609
1.357, -1.316213, -0.554197
1.353, -1.321924, -0.552905
1.348, -1.330489, -0.520609
1.343, -1.339054, -0.546446
1.338, -1.34762, -0.559364
1.333, -1.35333, -0.534819
1.328, -1.361895, -0.529652
1.323, -1.367606, -0.55678
1.318, -1.376171, -0.546446
1.313, -1.384737, -0.527068
1.309, -1.393302, -0.554197
