TIME s, IN1, IN2
2.5, 0.505357, 2.159945
2.495, 0.499647, 2.290421
2.49, 0.491082, 2.371806
2.485, 0.485372, 2.371806
2.48, 0.473951, 2.348553
2.476, 0.468241, 2.36018
2.471, 0.45682, 2.340802
2.466, 0.45111, 2.273627
2.461, 0.442545, 2.240039
2.456, 0.433979, 2.225829
2.451, 0.428269, 2.148319
2.446, 0.419704, 2.087603
2.441, 0.411138, 2.068225
2.437, 0.402573, 2.011385
2.432, 0.396863, 1.933875
2.427, 0.388297, 1.902871
2.422, 0.379732, 1.857656
2.417, 0.371166, 1.778855
2.412, 0.365456, 1.720722
2.407, 0.356891, 1.702636
2.402, 0.348325, 1.631586
2.397, 0.342615, 1.559243
2.393, 0.336905, 1.541157
2.388, 0.325484, 1.497235
2.383, 0.319774, 1.419725
2.378, 0.311209, 1.371927
2.373, 0.302643, 1.353841
2.368, 0.294078, 1.281499
2.363, 0.285513, 1.227242
2.358, 0.279802, 1.213032
2.354, 0.268382, 1.170401
2.349, 0.265527, 1.100642
2.344, 0.256961, 1.074805
2.339, 0.248396, 1.048969
2.334, 0.239831, 0.984377
2.329, 0.23412, 0.936579
2.324, 0.225555, 0.93012
2.319, 0.21699, 0.88749
2.314, 0.211279, 0.825482
2.31, 0.202714, 0.813855
2.305, 0.191293, 0.790602
2.3, 0.185583, 0.729886
2.295, 0.177018, 0.695006
2.29, 0.171308, 0.695006
2.285, 0.162742, 0.643333
2.28, 0.154177, 0.594243
2.275, 0.145611, 0.594243
2.271, 0.139901, 0.572282
2.266, 0.131336, 0.511566
2.261, 0.125626, 0.49348
2.256, 0.11706, 0.49348
2.251, 0.108495, 0.441807
2.246, 0.099929, 0.404344
2.241, 0.094219, 0.414679
2.236, 0.085654, 0.388842
2.231, 0.077088, 0.335877
2.227, 0.068523, 0.337169
2.222, 0.059958, 0.326834
2.217, 0.054247, 0.276452
2.212, 0.042827, 0.253199
2.207, 0.037117, 0.263534
2.202, 0.028551, 0.223487
2.197, 0.022841, 0.186024
2.192, 0.014276, 0.196359
2.188, 0.008565, 0.184732
2.183, 0.002855, 0.138226
2.178, -0.00571, 0.125308
2.173, -0.011421, 0.139518
2.168, -0.022841, 0.095596
2.163, -0.031406, 0.071051
2.158, -0.037117, 0.086553
2.153, -0.048537, 0.071051
2.148, -0.054247, 0.031004
2.144, -0.062813, 0.031004
2.139, -0.068523, 0.03488
2.134, -0.079944, -0.006459
2.129, -0.088509, -0.025837
2.124, -0.094219, -0.005167
2.119, -0.102785, -0.02842
2.114, -0.108495, -0.065884
2.109, -0.114205, -0.050382
2.104, -0.125626, -0.051673
2.1, -0.131336, -0.09172
2.095, -0.139901, -0.103347
2.09, -0.148467, -0.081386
2.085, -0.157032, -0.114973
2.08, -0.165597, -0.138226
2.075, -0.174163, -0.116265
2.07, -0.182728, -0.124016
2.065, -0.188438, -0.160187
2.061, -0.197004, -0.15502
2.056, -0.202714, -0.144685
2.051, -0.211279, -0.179565
2.046, -0.219845, -0.200234
2.041, -0.225555, -0.173106
2.036, -0.231265, -0.187316
2.031, -0.242686, -0.226071
2.026, -0.248396, -0.207985
2.021, -0.256961, -0.20411
2.017, -0.265527, -0.241573
2.012, -0.274092, -0.249324
2.007, -0.282658, -0.223487
2.002, -0.288368, -0.244157
1.997, -0.296933, -0.273869
1.992, -0.305499, -0.250616
1.987, -0.314064, -0.248032
1.982, -0.319774, -0.284203
1.978, -0.32834, -0.284203
1.973, -0.33405, -0.26095
1.968, -0.34547, -0.294538
1.963, -0.348325, -0.311332
1.958, -0.359746, -0.285495
1.953, -0.365456, -0.294538
1.948, -0.376877, -0.326834
1.943, -0.382587, -0.311332
1.938, -0.391152, -0.303581
1.934, -0.396863, -0.337169
1.929, -0.405428, -0.347503
1.924, -0.411138, -0.317791
1.919, -0.422559, -0.335877
1.914, -0.428269, -0.361713
1.909, -0.436834, -0.33846
1.904, -0.4454, -0.333293
1.899, -0.453965, -0.366881
1.895, -0.459675, -0.369464
1.89, -0.468241, -0.341044
1.885, -0.476806, -0.370756
1.88, -0.485372, -0.386258
