TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
2.5,0.502502,0.459118,2.5,0.505357,0.430956
2.495,0.493937,0.779751,2.495,0.496792,0.472294
2.49,0.485372,0.875863,2.49,0.488227,0.483662
2.485,0.476806,0.957507,2.485,0.479661,0.491413
2.48,0.471096,1.074289,2.48,0.471096,0.501748
2.476,0.459675,1.105034,2.476,0.465386,0.496064
2.471,0.453965,1.19107,2.471,0.45682,0.490638
2.466,0.448255,1.212773,2.466,0.45111,0.49193
2.461,0.43969,1.277882,2.461,0.43969,0.485213
2.456,0.431124,1.312503,2.456,0.431124,0.471778
2.451,0.422559,1.315086,2.451,0.422559,0.46506
2.446,0.416849,1.387171,2.446,0.416849,0.460668
2.441,0.411138,1.382779,2.441,0.411138,0.445683
2.437,0.402573,1.416366,2.437,0.402573,0.431731
2.432,0.394008,1.428768,2.432,0.396863,0.427855
2.427,0.385442,1.446854,2.427,0.385442,0.417262
2.422,0.379732,1.47424,2.422,0.379732,0.399952
2.417,0.371166,1.450471,2.417,0.371166,0.393234
2.412,0.362601,1.498785,2.412,0.365456,0.384708
2.407,0.354036,1.484317,2.407,0.354036,0.368431
2.402,0.348325,1.484058,2.402,0.348325,0.355771
2.397,0.336905,1.50111,2.397,0.33976,0.351637
2.393,0.33405,1.491551,2.393,0.331195,0.337685
2.388,0.322629,1.509637,2.388,0.322629,0.321408
2.383,0.316919,1.480958,2.383,0.316919,0.316499
2.378,0.308354,1.508086,2.378,0.308354,0.308231
2.373,0.299788,1.497752,2.373,0.299788,0.291438
2.368,0.294078,1.471915,2.368,0.294078,0.281878
2.363,0.285513,1.494393,2.363,0.282658,0.277486
2.358,0.276947,1.469848,2.358,0.276947,0.261984
2.354,0.268382,1.475015,2.354,0.268382,0.250099
2.349,0.262672,1.451762,2.349,0.262672,0.248032
2.344,0.254106,1.452796,2.344,0.251251,0.236922
2.339,0.245541,1.450471,2.339,0.245541,0.222454
