TIME s, IN1, IN2
2.5, 0.502502, 0.459118
2.495, 0.493937, 0.779751
2.49, 0.485372, 0.875863
2.485, 0.476806, 0.957507
2.48, 0.471096, 1.074289
2.476, 0.459675, 1.105034
2.471, 0.453965, 1.19107
2.466, 0.448255, 1.212773
2.461, 0.43969, 1.277882
2.456, 0.431124, 1.312503
2.451, 0.422559, 1.315086
2.446, 0.416849, 1.387171
2.441, 0.411138, 1.382779
2.437, 0.402573, 1.416366
2.432, 0.394008, 1.428768
2.427, 0.385442, 1.446854
2.422, 0.379732, 1.47424
2.417, 0.371166, 1.450471
2.412, 0.362601, 1.498785
2.407, 0.354036, 1.484317
2.402, 0.348325, 1.484058
2.397, 0.336905, 1.50111
2.393, 0.33405, 1.491551
2.388, 0.322629, 1.509637
2.383, 0.316919, 1.480958
2.378, 0.308354, 1.508086
2.373, 0.299788, 1.497752
2.368, 0.294078, 1.471915
2.363, 0.285513, 1.494393
2.358, 0.276947, 1.469848
2.354, 0.268382, 1.475015
2.349, 0.262672, 1.451762
2.344, 0.254106, 1.452796
2.339, 0.245541, 1.450471
2.334, 0.236976, 1.414558
2.329, 0.231265, 1.436519
2.324, 0.2227, 1.410424
2.319, 0.214135, 1.399314
2.314, 0.208424, 1.386912
2.31, 0.199859, 1.373219
2.305, 0.191293, 1.373219
2.3, 0.185583, 1.336273
2.295, 0.177018, 1.349191
2.29, 0.165597, 1.32878
2.285, 0.159887, 1.304493
2.28, 0.151322, 1.306044
2.275, 0.145611, 1.279949
2.271, 0.137046, 1.27814
2.266, 0.128481, 1.247136
2.261, 0.12277, 1.246361
2.256, 0.114205, 1.232926
2.251, 0.108495, 1.200888
2.246, 0.097074, 1.208381
2.241, 0.088509, 1.182028
2.236, 0.082799, 1.171693
2.231, 0.074233, 1.150765
2.227, 0.068523, 1.140689
2.222, 0.059958, 1.131646
2.217, 0.051392, 1.095733
2.212, 0.042827, 1.104518
2.207, 0.034262, 1.081781
2.202, 0.028551, 1.05827
2.197, 0.022841, 1.052844
2.192, 0.014276, 1.0345
2.188, 0.00571, 1.025457
2.183, -0.002855, 0.996004
2.178, -0.008565, 0.999362
2.173, -0.017131, 0.980502
2.168, -0.025696, 0.951306
2.163, -0.034262, 0.954148
2.158, -0.039972, 0.932704
2.153, -0.048537, 0.919785
2.148, -0.054247, 0.897824
2.144, -0.062813, 0.894207
2.139, -0.068523, 0.879222
2.134, -0.079944, 0.850802
2.129, -0.088509, 0.855452
2.124, -0.097074, 0.834524
2.119, -0.10564, 0.817214
2.114, -0.11135, 0.804037
2.109, -0.11706, 0.791894
2.104, -0.125626, 0.782334
2.1, -0.131336, 0.754947
2.095, -0.139901, 0.758306
2.09, -0.151322, 0.741254
2.085, -0.159887, 0.718518
