TIME s, IN1, IN2
2.5, 0.502502, 0.431989
2.495, 0.493937, 0.451625
2.49, 0.488227, 0.465835
2.485, 0.479661, 0.46661
2.48, 0.471096, 0.457826
2.476, 0.465386, 0.457309
2.471, 0.45682, 0.4555
2.466, 0.45111, 0.441549
2.461, 0.442545, 0.431472
2.456, 0.433979, 0.430181
2.451, 0.425414, 0.41597
2.446, 0.416849, 0.400985
2.441, 0.408283, 0.396851
2.437, 0.402573, 0.388325
2.432, 0.394008, 0.371531
2.427, 0.385442, 0.363264
2.422, 0.376877, 0.356804
2.417, 0.368311, 0.342594
2.412, 0.362601, 0.328901
2.407, 0.354036, 0.326059
2.402, 0.348325, 0.314432
2.397, 0.336905, 0.298672
2.393, 0.33405, 0.292988
2.388, 0.322629, 0.287304
2.383, 0.316919, 0.27206
2.378, 0.308354, 0.260434
2.373, 0.302643, 0.258883
2.368, 0.294078, 0.247257
2.363, 0.285513, 0.233822
2.358, 0.279802, 0.230205
2.354, 0.268382, 0.225037
2.349, 0.262672, 0.211086
2.344, 0.254106, 0.203851
2.339, 0.245541, 0.201009
2.334, 0.236976, 0.190416
2.329, 0.231265, 0.178273
2.324, 0.2227, 0.177756
2.319, 0.21699, 0.171555
2.314, 0.208424, 0.158379
2.31, 0.199859, 0.154503
2.305, 0.191293, 0.152695
2.3, 0.182728, 0.141327
2.295, 0.177018, 0.131767
2.29, 0.165597, 0.133317
2.285, 0.159887, 0.125566
2.28, 0.151322, 0.113165
2.275, 0.145611, 0.113165
2.271, 0.137046, 0.111873
2.266, 0.128481, 0.099213
2.261, 0.12277, 0.093787
2.256, 0.114205, 0.095596
2.251, 0.10564, 0.086811
2.246, 0.097074, 0.077252
2.241, 0.088509, 0.079577
2.236, 0.082799, 0.077252
2.231, 0.074233, 0.065108
2.227, 0.068523, 0.064333
2.222, 0.059958, 0.064333
2.217, 0.051392, 0.05529
2.212, 0.042827, 0.048056
2.207, 0.037117, 0.051932
2.202, 0.028551, 0.046248
2.197, 0.022841, 0.037205
2.192, 0.011421, 0.038497
2.188, 0.00571, 0.03953
2.183, -0.002855, 0.029971
2.178, -0.008565, 0.025062
2.173, -0.017131, 0.029195
2.168, -0.025696, 0.022478
2.163, -0.034262, 0.014469
2.158, -0.039972, 0.017052
2.153, -0.048537, 0.017311
2.148, -0.054247, 0.007751
2.144, -0.065668, 0.006976
2.139, -0.071378, 0.009043
2.134, -0.079944, 0.002584
2.129, -0.088509, -0.004134
2.124, -0.097074, 0.000517
2.119, -0.10564, -0.001809
2.114, -0.11135, -0.010593
2.109, -0.119915, -0.008784
2.104, -0.125626, -0.006459
2.1, -0.131336, -0.01421
2.095, -0.139901, -0.018861
2.09, -0.151322, -0.013177
2.085, -0.159887, -0.018086
2.08, -0.165597, -0.024803
2.075, -0.174163, -0.021186
2.07, -0.182728, -0.019378
2.065, -0.191293, -0.027645
2.061, -0.197004, -0.028679
2.056, -0.205569, -0.025062
2.051, -0.214135, -0.030229
2.046, -0.2227, -0.036946
2.041, -0.22841, -0.031521
2.036, -0.236976, -0.031779
2.031, -0.245541, -0.04108
2.026, -0.251251, -0.038755
2.021, -0.259817, -0.035655
2.017, -0.265527, -0.042631
2.012, -0.274092, -0.046764
2.007, -0.279802, -0.04108
2.002, -0.288368, -0.043664
1.997, -0.299788, -0.051157
1.992, -0.302643, -0.047281
1.987, -0.314064, -0.044439
1.982, -0.319774, -0.05219
1.978, -0.32834, -0.05374
1.973, -0.336905, -0.047798
1.968, -0.34547, -0.052707
1.963, -0.351181, -0.058649
1.958, -0.359746, -0.053482
1.953, -0.365456, -0.052965
1.948, -0.374022, -0.060458
1.943, -0.382587, -0.058908
1.938, -0.391152, -0.055032
1.934, -0.396863, -0.060975
1.929, -0.405428, -0.065625
1.924, -0.413993, -0.059424
1.919, -0.422559, -0.061491
1.914, -0.431124, -0.06795
1.909, -0.436834, -0.06485
1.904, -0.448255, -0.060716
1.899, -0.453965, -0.067692
1.895, -0.459675, -0.070017
1.89, -0.468241, -0.063041
1.885, -0.476806, -0.067434
1.88, -0.485372, -0.073118
1.875, -0.491082, -0.067692
1.87, -0.499647, -0.066142
1.865, -0.505357, -0.073893
1.86, -0.513923, -0.072601
1.855, -0.525343, -0.068984
1.851, -0.531054, -0.073635
1.846, -0.539619, -0.078285
1.841, -0.548184, -0.071568
1.836, -0.553895, -0.072343
1.831, -0.56246, -0.079577
1.826, -0.571025, -0.076735
1.821, -0.576736, -0.072601
1.816, -0.588156, -0.07906
1.812, -0.591011, -0.082419
1.807, -0.599577, -0.075443
1.802, -0.610997, -0.078802
1.797, -0.616707, -0.084486
1.792, -0.622418, -0.079319
1.787, -0.630983, -0.076477
1.782, -0.639548, -0.083711
1.777, -0.648114, -0.083194
1.772, -0.653824, -0.078027
1.768, -0.662389, -0.081902
1.763, -0.670955, -0.087328
1.758, -0.676665, -0.080869
1.753, -0.688086, -0.080094
1.748, -0.696651, -0.087845
1.743, -0.702361, -0.084744
1.738, -0.708071, -0.080869
1.733, -0.719492, -0.086553
1.729, -0.722347, -0.090428
1.724, -0.730912, -0.083452
1.719, -0.739478, -0.085778
1.714, -0.748043, -0.091203
1.709, -0.753753, -0.087328
1.704, -0.765174, -0.083194
1.699, -0.770884, -0.09017
1.694, -0.77945, -0.091979
1.689, -0.78516, -0.085261
1.685, -0.793725, -0.089137
1.68, -0.802291, -0.094562
1.675, -0.810856, -0.088878
1.67, -0.816566, -0.08707
1.665, -0.825132, -0.093787
1.66, -0.830842, -0.092237
1.655, -0.842262, -0.087328
1.65, -0.847973, -0.093012
1.646, -0.856538, -0.096888
1.641, -0.865103, -0.089912
1.636, -0.870814, -0.09172
1.631, -0.882234, -0.097921
1.626, -0.887944, -0.093529
1.621, -0.89651, -0.089653
1.616, -0.90222, -0.095854
1.611, -0.910785, -0.097404
1.606, -0.916496, -0.090945
1.602, -0.927916, -0.094821
1.597, -0.936482, -0.09973
1.592, -0.945047, -0.094304
1.587, -0.947902, -0.091979
1.582, -0.959323, -0.098179
1.577, -0.965033, -0.097146
1.572, -0.973598, -0.093012
1.567, -0.979308, -0.096888
1.563, -0.987874, -0.101796
1.558, -0.993584, -0.095079
1.553, -1.005005, -0.094562
1.548, -1.010715, -0.102313
1.543, -1.01928, -0.098179
1.538, -1.027846, -0.094045
1.533, -1.036411, -0.100246
1.528, -1.044976, -0.10283
1.523, -1.050687, -0.095079
1.519, -1.062107, -0.098179
1.514, -1.067817, -0.103605
1.509, -1.076383, -0.098696
1.504, -1.082093, -0.095079
1.499, -1.093514, -0.101796
1.494, -1.099224, -0.102055
1.489, -1.107789, -0.095854
1.484, -1.113499, -0.100246
1.479, -1.122065, -0.105155
1.475, -1.127775, -0.098438
1.47, -1.13634, -0.097921
1.465, -1.144906, -0.104639
1.46, -1.153471, -0.101796
1.455, -1.159181, -0.097146
1.45, -1.167747, -0.102572
1.445, -1.176312, -0.106447
1.44, -1.184878, -0.099471
1.436, -1.193443, -0.101538
1.431, -1.199153, -0.106964
1.426, -1.207719, -0.102572
1.421, -1.216284, -0.098438
1.416, -1.224849, -0.104897
1.411, -1.23056, -0.106705
1.406, -1.23627, -0.099213
1.401, -1.24769, -0.103088
1.396, -1.256256, -0.107997
1.392, -1.264821, -0.10128
1.387, -1.273387, -0.09973
1.382, -1.276242, -0.106705
1.377, -1.287662, -0.104639
1.372, -1.290517, -0.100505
1.367, -1.301938, -0.104897
1.362, -1.307648, -0.109031
1.357, -1.316213, -0.101796
1.353, -1.324779, -0.102572
1.348, -1.333344, -0.109031
1.343, -1.339054, -0.105155
1.338, -1.34762, -0.100763
1.333, -1.35333, -0.106964
1.328, -1.361895, -0.108514
1.323, -1.367606, -0.102313
1.318, -1.379026, -0.105672
1.313, -1.387592, -0.110839
1.309, -1.393302, -0.104897
1.304, -1.401867, -0.102055
1.299, -1.410433, -0.109547
1.294, -1.416143, -0.107739
1.289, -1.424708, -0.10283
1.284, -1.433274, -0.106964
1.279, -1.438984, -0.111614
1.274, -1.447549, -0.10438
1.27, -1.45326, -0.103863
1.265, -1.46468, -0.111356
1.26, -1.47039, -0.107739
1.255, -1.476101, -0.103347
1.25, 0.505357, 0.421138
1.245, 0.496792, 0.451883
1.24, 0.488227, 0.466869
1.235, 0.482516, 0.46506
1.23, 0.473951, 0.458343
1.226, 0.468241, 0.458601
1.221, 0.45682, 0.455242
1.216, 0.45111, 0.441549
1.211, 0.442545, 0.432764
1.206, 0.433979, 0.429147
1.201, 0.425414, 0.41597
1.196, 0.416849, 0.40176
1.191, 0.411138, 0.398143
1.187, 0.402573, 0.388325
1.182, 0.396863, 0.371531
1.177, 0.388297, 0.364297
1.172, 0.379732, 0.357838
1.167, 0.371166, 0.342594
1.162, 0.365456, 0.329159
1.157, 0.356891, 0.326059
1.152, 0.351181, 0.313916
1.147, 0.342615, 0.29893
1.143, 0.33405, 0.293246
1.138, 0.325484, 0.28782
1.133, 0.319774, 0.272577
1.128, 0.311209, 0.262242
1.123, 0.302643, 0.259659
1.118, 0.294078, 0.247257
1.113, 0.285513, 0.23408
1.108, 0.279802, 0.231238
1.104, 0.271237, 0.225554
1.099, 0.265527, 0.211086
1.094, 0.256961, 0.204368
1.089, 0.248396, 0.201268
1.084, 0.236976, 0.190158
1.079, 0.231265, 0.178015
1.074, 0.225555, 0.178273
1.069, 0.21699, 0.171297
1.064, 0.208424, 0.157345
1.06, 0.202714, 0.15502
1.055, 0.194149, 0.15347
1.05, 0.185583, 0.140551
1.045, 0.177018, 0.1328
1.04, 0.171308, 0.134092
1.035, 0.162742, 0.125308
1.03, 0.154177, 0.114456
1.025, 0.148467, 0.114456
1.021, 0.142756, 0.112648
1.016, 0.131336, 0.100246
1.011, 0.12277, 0.096112
1.006, 0.11706, 0.096888
1.001, 0.11135, 0.087586
996.094, 0.099929, 0.078802
991.211, 0.094219, 0.081127
986.328, 0.085654, 0.076993
981.445, 0.077088, 0.065884
976.563, 0.068523, 0.065625
971.68, 0.059958, 0.066142
966.797, 0.054247, 0.056066
961.914, 0.045682, 0.049606
957.031, 0.039972, 0.052965
952.148, 0.028551, 0.047023
947.266, 0.022841, 0.038238
942.383, 0.017131, 0.039788
937.5, 0.008565, 0.039788
932.617, 0, 0.030487
927.734, -0.008565, 0.026612
922.852, -0.017131, 0.030487
917.969, -0.022841, 0.024028
913.086, -0.034262, 0.016019
908.203, -0.039972, 0.019894
903.32, -0.048537, 0.018344
898.438, -0.054247, 0.00956
893.555, -0.062813, 0.009043
888.672, -0.068523, 0.01111
883.789, -0.079944, 0.003359
878.906, -0.085654, -0.002584
874.023, -0.094219, 0.002067
869.141, -0.102785, -0.001809
864.258, -0.108495, -0.009818
859.375, -0.11706, -0.007751
854.492, -0.125626, -0.005684
