TIME s, IN1D,IN2D,TIME sT,IN1T, IN2T
2.5,0.502502,0.539211,2.5,0.502502,0.436123
2.495,0.493937,0.878705,2.495,0.493937,0.490638
2.49,0.488227,1.099867,2.49,0.488227,0.510274
2.485,0.476806,1.173243,2.485,0.479661,0.523968
2.48,0.471096,1.395697,2.48,0.471096,0.538695
2.476,0.465386,1.449179,2.476,0.465386,0.536111
2.471,0.45682,1.553042,2.471,0.45682,0.532235
2.466,0.45111,1.662331,2.466,0.448255,0.535077
2.461,0.43969,1.705995,2.461,0.43969,0.530168
2.456,0.431124,1.812184,2.456,0.431124,0.517509
2.451,0.422559,1.827428,2.451,0.422559,0.511308
2.446,0.416849,1.93465,2.446,0.413993,0.505365
2.441,0.408283,1.957386,2.441,0.408283,0.490638
2.437,0.399718,1.975213,2.437,0.399718,0.476687
2.432,0.394008,2.06745,2.432,0.394008,0.472036
2.427,0.382587,2.057374,2.427,0.385442,0.459376
2.422,0.376877,2.11654,2.422,0.379732,0.440257
2.417,0.368311,2.11654,2.417,0.368311,0.433798
2.412,0.362601,2.11654,2.412,0.365456,0.423721
2.407,0.354036,2.11654,2.407,0.354036,0.406152
2.402,0.348325,2.11654,2.402,0.348325,0.392201
2.397,0.336905,2.11654,2.397,0.342615,0.386258
2.393,0.331195,2.11654,2.393,0.33405,0.370239
2.388,0.322629,2.11654,2.388,0.322629,0.353446
2.383,0.316919,2.11654,2.383,0.316919,0.347503
2.378,0.308354,2.11654,2.378,0.308354,0.337427
2.373,0.299788,2.11654,2.373,0.296933,0.318308
2.368,0.294078,2.11654,2.368,0.294078,0.309007
2.363,0.285513,2.11654,2.363,0.282658,0.302547
2.358,0.276947,2.11654,2.358,0.276947,0.285237
2.354,0.268382,2.11654,2.354,0.268382,0.271802
2.349,0.262672,2.11654,2.349,0.259817,0.267926
2.344,0.251251,2.11654,2.344,0.251251,0.255525
2.339,0.245541,2.11654,2.339,0.245541,0.240023
2.334,0.236976,2.11654,2.334,0.236976,0.234339
2.329,0.231265,2.11654,2.329,0.231265,0.227104
2.324,0.2227,2.11654,2.324,0.219845,0.211086
2.319,0.21699,2.114731,2.319,0.214135,0.200751
2.314,0.205569,2.11654,2.314,0.205569,0.198426
2.31,0.194149,2.097421,2.31,0.197004,0.184732
2.305,0.188438,2.094579,2.305,0.191293,0.172331
2.3,0.179873,2.065125,2.3,0.182728,0.169489
2.295,0.174163,2.051173,2.295,0.174163,0.162513
2.29,0.165597,2.046006,2.29,0.165597,0.148561
2.285,0.159887,1.994591,2.285,0.159887,0.141068
2.28,0.151322,2.015002,2.28,0.148467,0.139001
2.275,0.142756,1.973922,2.275,0.142756,0.1266
2.271,0.134191,1.951702,2.271,0.134191,0.11704
2.266,0.128481,1.944209,2.266,0.128481,0.116265
2.261,0.12277,1.907521,2.261,0.12277,0.109547
2.256,0.114205,1.904421,2.256,0.114205,0.097146
2.251,0.108495,1.854815,2.251,0.102785,0.093787
2.246,0.099929,1.861532,2.246,0.097074,0.090945
2.241,0.088509,1.83027,2.241,0.088509,0.080094
2.236,0.082799,1.792548,2.236,0.082799,0.072084
2.231,0.074233,1.79539,2.231,0.074233,0.073118
2.227,0.068523,1.752501,2.227,0.068523,0.065625
2.222,0.059958,1.743975,2.222,0.057103,0.05529
2.217,0.051392,1.705479,2.217,0.051392,0.055032
2.212,0.042827,1.693335,2.212,0.042827,0.05219
2.207,0.037117,1.673441,2.207,0.037117,0.041597
2.202,0.025696,1.625385,2.202,0.025696,0.036946
2.197,0.019986,1.634686,2.197,0.019986,0.038497
2.192,0.011421,1.594381,2.192,0.011421,0.029712
2.188,0.00571,1.568027,2.188,0.00571,0.02222
2.183,-0.002855,1.550975,2.183,-0.002855,0.024286
2.178,-0.011421,1.525914,2.178,-0.011421,0.021444
2.173,-0.019986,1.511187,2.173,-0.019986,0.011885
2.168,-0.025696,1.465714,2.168,-0.025696,0.010335
2.163,-0.034262,1.469331,2.163,-0.034262,0.010593
2.158,-0.039972,1.43471,2.158,-0.042827,0.00155
2.153,-0.048537,1.399314,2.153,-0.051392,-0.004392
2.148,-0.057103,1.394147,2.148,-0.057103,-0.000775
2.144,-0.065668,1.361593,2.144,-0.065668,-0.004651
2.139,-0.074233,1.344282,2.139,-0.074233,-0.013952
2.134,-0.079944,1.309144,2.134,-0.079944,-0.012143
2.129,-0.088509,1.303202,2.129,-0.091364,-0.012402
2.124,-0.097074,1.275298,2.124,-0.097074,-0.021444
2.119,-0.10564,1.23706,2.119,-0.10564,-0.024803
2.114,-0.11135,1.237835,2.114,-0.11135,-0.020928
2.109,-0.119915,1.20373,2.109,-0.12277,-0.027645
2.104,-0.128481,1.182803,2.104,-0.128481,-0.033071
2.1,-0.134191,1.158516,2.1,-0.137046,-0.029971
2.095,-0.142756,1.144048,2.095,-0.142756,-0.030229
2.09,-0.151322,1.12157,2.09,-0.154177,-0.038755
2.085,-0.157032,1.085657,2.085,-0.162742,-0.040047
2.08,-0.165597,1.085398,2.08,-0.168452,-0.036171
2.075,-0.177018,1.054394,2.075,-0.179873,-0.043406
2.07,-0.182728,1.028299,2.07,-0.182728,-0.048056
2.065,-0.191293,1.013831,2.065,-0.194149,-0.043664
2.061,-0.199859,0.989544,2.061,-0.199859,-0.045731
2.056,-0.208424,0.973267,2.056,-0.211279,-0.053482
2.051,-0.214135,0.941747,2.051,-0.21699,-0.051157
2.046,-0.2227,0.935029,2.046,-0.225555,-0.050123
2.041,-0.22841,0.912293,2.041,-0.231265,-0.057099
2.036,-0.239831,0.882839,2.036,-0.239831,-0.060199
2.031,-0.245541,0.875863,2.031,-0.245541,-0.055032
2.026,-0.251251,0.850802,2.026,-0.254106,-0.059941
2.021,-0.259817,0.832716,2.021,-0.259817,-0.065625
2.017,-0.265527,0.808171,2.017,-0.268382,-0.06175
2.012,-0.276947,0.796803,2.012,-0.276947,-0.060975
2.007,-0.285513,0.776909,2.007,-0.285513,-0.068209
2.002,-0.291223,0.749005,2.002,-0.291223,-0.069759
1.997,-0.299788,0.743838,1.997,-0.299788,-0.064592
1.992,-0.305499,0.721618,1.992,-0.308354,-0.070534
1.987,-0.316919,0.70069,1.987,-0.316919,-0.074668
1.982,-0.322629,0.684413,1.982,-0.322629,-0.069242
1.978,-0.331195,0.669428,1.978,-0.331195,-0.070276
1.973,-0.336905,0.651342,1.973,-0.336905,-0.076993
1.968,-0.348325,0.624989,1.968,-0.348325,-0.07441
1.963,-0.356891,0.620597,1.963,-0.356891,-0.072601
1.958,-0.362601,0.600961,1.958,-0.362601,-0.078543
1.953,-0.371166,0.575641,1.953,-0.374022,-0.081386
1.948,-0.379732,0.568148,1.948,-0.379732,-0.075701
1.943,-0.382587,0.551613,1.943,-0.385442,-0.078285
1.938,-0.394008,0.531977,1.938,-0.394008,-0.085261
1.934,-0.399718,0.512858,1.934,-0.399718,-0.08061
1.929,-0.408283,0.506657,1.929,-0.411138,-0.078802
1.924,-0.413993,0.489088,1.924,-0.419704,-0.085261
1.919,-0.425414,0.465318,1.919,-0.425414,-0.086553
1.914,-0.433979,0.460668,1.914,-0.433979,-0.080869
1.909,-0.43969,0.445424,1.909,-0.43969,-0.085778
1.904,-0.448255,0.425013,1.904,-0.448255,-0.089912
1.899,-0.453965,0.41132,1.899,-0.45682,-0.085003
1.895,-0.462531,0.404344,1.895,-0.465386,-0.084228
1.89,-0.471096,0.385225,1.89,-0.471096,-0.090687
1.885,-0.479661,0.367397,1.885,-0.479661,-0.089137
1.88,-0.485372,0.363005,1.88,-0.485372,-0.085261
1.875,-0.496792,0.346986,1.875,-0.496792,-0.091462
1.87,-0.502502,0.329934,1.87,-0.502502,-0.093787
1.865,-0.508213,0.320375,1.865,-0.511068,-0.087845
1.86,-0.516778,0.310557,1.86,-0.519633,-0.089912
1.855,-0.525343,0.294021,1.855,-0.528198,-0.095854
1.851,-0.533909,0.278778,1.851,-0.536764,-0.09172
1.846,-0.542474,0.275677,1.846,-0.542474,-0.09017
1.841,-0.551039,0.259659,1.841,-0.551039,-0.096371
1.836,-0.55675,0.244157,1.836,-0.55675,-0.097921
1.831,-0.565315,0.238214,1.831,-0.565315,-0.092237
1.826,-0.57388,0.228655,1.826,-0.57388,-0.096371
1.821,-0.582446,0.211861,1.821,-0.582446,-0.100246
1.816,-0.588156,0.200493,1.816,-0.588156,-0.095337
1.812,-0.596722,0.197392,1.812,-0.596722,-0.093787
1.807,-0.605287,0.181373,1.807,-0.605287,-0.099988
1.802,-0.613852,0.169489,1.802,-0.610997,-0.099988
1.797,-0.616707,0.16458,1.797,-0.619563,-0.094304
1.792,-0.625273,0.155795,1.792,-0.625273,-0.099471
1.787,-0.633838,0.141327,1.787,-0.633838,-0.102572
1.782,-0.639548,0.1328,1.782,-0.642404,-0.096112
1.777,-0.648114,0.129442,1.777,-0.648114,-0.096888
1.772,-0.656679,0.11394,1.772,-0.659534,-0.103088
1.768,-0.662389,0.103863,1.768,-0.665245,-0.100246
1.763,-0.67381,0.10128,1.763,-0.67381,-0.097146
1.758,-0.682375,0.091462,1.758,-0.682375,-0.102572
1.753,-0.688086,0.079577,1.753,-0.688086,-0.104639
1.748,-0.699506,0.073118,1.748,-0.699506,-0.098696
1.743,-0.705216,0.069759,1.743,-0.705216,-0.101021
1.738,-0.710927,0.055549,1.738,-0.710927,-0.106447
1.733,-0.719492,0.046506,1.733,-0.722347,-0.10128
1.729,-0.725202,0.046248,1.729,-0.728057,-0.09973
1.724,-0.733768,0.03488,1.724,-0.736623,-0.105672
1.719,-0.745188,0.02532,1.719,-0.745188,-0.105672
1.714,-0.750898,0.021703,1.714,-0.750898,-0.099988
1.709,-0.756609,0.018602,1.709,-0.756609,-0.105155
1.704,-0.768029,0.005684,1.704,-0.765174,-0.107739
1.699,-0.770884,-0.000775,1.699,-0.773739,-0.102313
1.694,-0.77945,0.000775,1.694,-0.782305,-0.101538
1.689,-0.788015,-0.011885,1.689,-0.79087,-0.107481
1.685,-0.79658,-0.019119,1.685,-0.79658,-0.105155
1.68,-0.805146,-0.019894,1.68,-0.805146,-0.101538
1.675,-0.810856,-0.024028,1.675,-0.813711,-0.106964
1.67,-0.819421,-0.034104,1.67,-0.822277,-0.108772
1.665,-0.827987,-0.038497,1.665,-0.830842,-0.10283
