TIME s, IN1, IN2
2.5, 0.502502, 0.539211
2.495, 0.493937, 0.878705
2.49, 0.488227, 1.099867
2.485, 0.476806, 1.173243
2.48, 0.471096, 1.395697
2.476, 0.465386, 1.449179
2.471, 0.45682, 1.553042
2.466, 0.45111, 1.662331
2.461, 0.43969, 1.705995
2.456, 0.431124, 1.812184
2.451, 0.422559, 1.827428
2.446, 0.416849, 1.93465
2.441, 0.408283, 1.957386
2.437, 0.399718, 1.975213
2.432, 0.394008, 2.06745
2.427, 0.382587, 2.057374
2.422, 0.376877, 2.11654
2.417, 0.368311, 2.11654
2.412, 0.362601, 2.11654
2.407, 0.354036, 2.11654
2.402, 0.348325, 2.11654
2.397, 0.336905, 2.11654
2.393, 0.331195, 2.11654
2.388, 0.322629, 2.11654
2.383, 0.316919, 2.11654
2.378, 0.308354, 2.11654
2.373, 0.299788, 2.11654
2.368, 0.294078, 2.11654
2.363, 0.285513, 2.11654
2.358, 0.276947, 2.11654
2.354, 0.268382, 2.11654
2.349, 0.262672, 2.11654
2.344, 0.251251, 2.11654
2.339, 0.245541, 2.11654
2.334, 0.236976, 2.11654
2.329, 0.231265, 2.11654
2.324, 0.2227, 2.11654
2.319, 0.21699, 2.114731
2.314, 0.205569, 2.11654
2.31, 0.194149, 2.097421
2.305, 0.188438, 2.094579
2.3, 0.179873, 2.065125
2.295, 0.174163, 2.051173
2.29, 0.165597, 2.046006
2.285, 0.159887, 1.994591
2.28, 0.151322, 2.015002
2.275, 0.142756, 1.973922
2.271, 0.134191, 1.951702
2.266, 0.128481, 1.944209
2.261, 0.12277, 1.907521
2.256, 0.114205, 1.904421
2.251, 0.108495, 1.854815
2.246, 0.099929, 1.861532
2.241, 0.088509, 1.83027
2.236, 0.082799, 1.792548
2.231, 0.074233, 1.79539
2.227, 0.068523, 1.752501
2.222, 0.059958, 1.743975
2.217, 0.051392, 1.705479
2.212, 0.042827, 1.693335
2.207, 0.037117, 1.673441
2.202, 0.025696, 1.625385
2.197, 0.019986, 1.634686
2.192, 0.011421, 1.594381
2.188, 0.00571, 1.568027
2.183, -0.002855, 1.550975
2.178, -0.011421, 1.525914
2.173, -0.019986, 1.511187
2.168, -0.025696, 1.465714
2.163, -0.034262, 1.469331
2.158, -0.039972, 1.43471
2.153, -0.048537, 1.399314
2.148, -0.057103, 1.394147
2.144, -0.065668, 1.361593
2.139, -0.074233, 1.344282
2.134, -0.079944, 1.309144
2.129, -0.088509, 1.303202
2.124, -0.097074, 1.275298
2.119, -0.10564, 1.23706
2.114, -0.11135, 1.237835
2.109, -0.119915, 1.20373
2.104, -0.128481, 1.182803
2.1, -0.134191, 1.158516
2.095, -0.142756, 1.144048
2.09, -0.151322, 1.12157
2.085, -0.157032, 1.085657
