TIME s, IN1, IN2
2.5, 0.502502, 0.436123
2.495, 0.493937, 0.490638
2.49, 0.488227, 0.510274
2.485, 0.479661, 0.523968
2.48, 0.471096, 0.538695
2.476, 0.465386, 0.536111
2.471, 0.45682, 0.532235
2.466, 0.448255, 0.535077
2.461, 0.43969, 0.530168
2.456, 0.431124, 0.517509
2.451, 0.422559, 0.511308
2.446, 0.413993, 0.505365
2.441, 0.408283, 0.490638
2.437, 0.399718, 0.476687
2.432, 0.394008, 0.472036
2.427, 0.385442, 0.459376
2.422, 0.379732, 0.440257
2.417, 0.368311, 0.433798
2.412, 0.365456, 0.423721
2.407, 0.354036, 0.406152
2.402, 0.348325, 0.392201
2.397, 0.342615, 0.386258
2.393, 0.33405, 0.370239
2.388, 0.322629, 0.353446
2.383, 0.316919, 0.347503
2.378, 0.308354, 0.337427
2.373, 0.296933, 0.318308
2.368, 0.294078, 0.309007
2.363, 0.282658, 0.302547
2.358, 0.276947, 0.285237
2.354, 0.268382, 0.271802
2.349, 0.259817, 0.267926
2.344, 0.251251, 0.255525
2.339, 0.245541, 0.240023
2.334, 0.236976, 0.234339
2.329, 0.231265, 0.227104
2.324, 0.219845, 0.211086
2.319, 0.214135, 0.200751
2.314, 0.205569, 0.198426
2.31, 0.197004, 0.184732
2.305, 0.191293, 0.172331
2.3, 0.182728, 0.169489
2.295, 0.174163, 0.162513
2.29, 0.165597, 0.148561
2.285, 0.159887, 0.141068
2.28, 0.148467, 0.139001
2.275, 0.142756, 0.1266
2.271, 0.134191, 0.11704
2.266, 0.128481, 0.116265
2.261, 0.12277, 0.109547
2.256, 0.114205, 0.097146
2.251, 0.102785, 0.093787
2.246, 0.097074, 0.090945
2.241, 0.088509, 0.080094
2.236, 0.082799, 0.072084
2.231, 0.074233, 0.073118
2.227, 0.068523, 0.065625
2.222, 0.057103, 0.05529
2.217, 0.051392, 0.055032
2.212, 0.042827, 0.05219
2.207, 0.037117, 0.041597
2.202, 0.025696, 0.036946
2.197, 0.019986, 0.038497
2.192, 0.011421, 0.029712
2.188, 0.00571, 0.02222
2.183, -0.002855, 0.024286
2.178, -0.011421, 0.021444
2.173, -0.019986, 0.011885
2.168, -0.025696, 0.010335
2.163, -0.034262, 0.010593
2.158, -0.042827, 0.00155
2.153, -0.051392, -0.004392
2.148, -0.057103, -0.000775
2.144, -0.065668, -0.004651
2.139, -0.074233, -0.013952
2.134, -0.079944, -0.012143
2.129, -0.091364, -0.012402
2.124, -0.097074, -0.021444
2.119, -0.10564, -0.024803
2.114, -0.11135, -0.020928
2.109, -0.12277, -0.027645
2.104, -0.128481, -0.033071
2.1, -0.137046, -0.029971
2.095, -0.142756, -0.030229
2.09, -0.154177, -0.038755
2.085, -0.162742, -0.040047
2.08, -0.168452, -0.036171
2.075, -0.179873, -0.043406
2.07, -0.182728, -0.048056
2.065, -0.194149, -0.043664
2.061, -0.199859, -0.045731
2.056, -0.211279, -0.053482
2.051, -0.21699, -0.051157
2.046, -0.225555, -0.050123
2.041, -0.231265, -0.057099
2.036, -0.239831, -0.060199
2.031, -0.245541, -0.055032
2.026, -0.254106, -0.059941
2.021, -0.259817, -0.065625
2.017, -0.268382, -0.06175
2.012, -0.276947, -0.060975
2.007, -0.285513, -0.068209
2.002, -0.291223, -0.069759
1.997, -0.299788, -0.064592
1.992, -0.308354, -0.070534
1.987, -0.316919, -0.074668
1.982, -0.322629, -0.069242
1.978, -0.331195, -0.070276
1.973, -0.336905, -0.076993
1.968, -0.348325, -0.07441
1.963, -0.356891, -0.072601
1.958, -0.362601, -0.078543
1.953, -0.374022, -0.081386
1.948, -0.379732, -0.075701
1.943, -0.385442, -0.078285
1.938, -0.394008, -0.085261
1.934, -0.399718, -0.08061
1.929, -0.411138, -0.078802
1.924, -0.419704, -0.085261
1.919, -0.425414, -0.086553
1.914, -0.433979, -0.080869
1.909, -0.43969, -0.085778
1.904, -0.448255, -0.089912
1.899, -0.45682, -0.085003
1.895, -0.465386, -0.084228
1.89, -0.471096, -0.090687
1.885, -0.479661, -0.089137
1.88, -0.485372, -0.085261
1.875, -0.496792, -0.091462
1.87, -0.502502, -0.093787
1.865, -0.511068, -0.087845
1.86, -0.519633, -0.089912
1.855, -0.528198, -0.095854
1.851, -0.536764, -0.09172
1.846, -0.542474, -0.09017
1.841, -0.551039, -0.096371
1.836, -0.55675, -0.097921
1.831, -0.565315, -0.092237
1.826, -0.57388, -0.096371
1.821, -0.582446, -0.100246
1.816, -0.588156, -0.095337
1.812, -0.596722, -0.093787
1.807, -0.605287, -0.099988
1.802, -0.610997, -0.099988
1.797, -0.619563, -0.094304
1.792, -0.625273, -0.099471
1.787, -0.633838, -0.102572
1.782, -0.642404, -0.096112
1.777, -0.648114, -0.096888
1.772, -0.659534, -0.103088
1.768, -0.665245, -0.100246
1.763, -0.67381, -0.097146
1.758, -0.682375, -0.102572
1.753, -0.688086, -0.104639
1.748, -0.699506, -0.098696
1.743, -0.705216, -0.101021
1.738, -0.710927, -0.106447
1.733, -0.722347, -0.10128
1.729, -0.728057, -0.09973
1.724, -0.736623, -0.105672
1.719, -0.745188, -0.105672
1.714, -0.750898, -0.099988
1.709, -0.756609, -0.105155
1.704, -0.765174, -0.107739
1.699, -0.773739, -0.102313
1.694, -0.782305, -0.101538
1.689, -0.79087, -0.107481
1.685, -0.79658, -0.105155
1.68, -0.805146, -0.101538
1.675, -0.813711, -0.106964
1.67, -0.822277, -0.108772
1.665, -0.830842, -0.10283
1.66, -0.839407, -0.104122
1.655, -0.845118, -0.110323
